State,State_code,Year,State_Minimum_Wage,State_Minimum_Wage_2020_Dollars,Federal_Minimum_Wage,Federal_Minimum_Wage_2020_Dollars,Effective_Minimum_Wage,Effective_Minimum_Wage_2020_Dollars
Alabama,AL,1968,0,0,1.15,8.55,1.15,8.55
Alaska,AK,1968,2.1,15.61,1.15,8.55,2.1,15.61
Arizona,AZ,1968,0.468,3.48,1.15,8.55,1.15,8.55
Arkansas,AR,1968,0.15625,1.16,1.15,8.55,1.15,8.55
California,CA,1968,1.65,12.26,1.15,8.55,1.65,12.26
Colorado,CO,1968,1,7.43,1.15,8.55,1.15,8.55
Connecticut,CT,1968,1.4,10.41,1.15,8.55,1.4,10.41
Delaware,DE,1968,1.25,9.29,1.15,8.55,1.25,9.29
District of Columbia,DC,1968,1.25,9.29,1.15,8.55,1.25,9.29
Florida,FL,1968,0,0,1.15,8.55,1.15,8.55
Georgia,GA,1968,0,0,1.15,8.55,1.15,8.55
Guam,None,1968,1.25,9.29,1.15,8.55,1.25,9.29
Hawaii,HI,1968,1.25,9.29,1.15,8.55,1.25,9.29
Idaho,ID,1968,1.15,8.55,1.15,8.55,1.15,8.55
Illinois,IL,1968,0,0,1.15,8.55,1.15,8.55
Indiana,IN,1968,1.15,8.55,1.15,8.55,1.15,8.55
Iowa,IA,1968,0,0,1.15,8.55,1.15,8.55
Kansas,KS,1968,0,0,1.15,8.55,1.15,8.55
Kentucky,KY,1968,0.65,4.83,1.15,8.55,1.15,8.55
Louisiana,LA,1968,0,0,1.15,8.55,1.15,8.55
Maine,ME,1968,1.4,10.41,1.15,8.55,1.4,10.41
Maryland,MD,1968,1,7.43,1.15,8.55,1.15,8.55
Massachusetts,MA,1968,1.6,11.89,1.15,8.55,1.6,11.89
Michigan,MI,1968,1.25,9.29,1.15,8.55,1.25,9.29
Minnesota,MN,1968,0.7,5.2,1.15,8.55,1.15,8.55
Mississippi,MS,1968,0,0,1.15,8.55,1.15,8.55
Missouri,MO,1968,0,0,1.15,8.55,1.15,8.55
Montana,MT,1968,0,0,1.15,8.55,1.15,8.55
Nebraska,NE,1968,1,7.43,1.15,8.55,1.15,8.55
Nevada,NV,1968,1.25,9.29,1.15,8.55,1.25,9.29
New Hampshire,NH,1968,1.4,10.41,1.15,8.55,1.4,10.41
New Jersey,NJ,1968,1.4,10.41,1.15,8.55,1.4,10.41
New Mexico,NM,1968,1.15,8.55,1.15,8.55,1.15,8.55
New York,NY,1968,1.6,11.89,1.15,8.55,1.6,11.89
North Carolina,NC,1968,1,7.43,1.15,8.55,1.15,8.55
North Dakota,ND,1968,1,7.43,1.15,8.55,1.15,8.55
Ohio,OH,1968,0.75,5.57,1.15,8.55,1.15,8.55
Oklahoma,OK,1968,1,7.43,1.15,8.55,1.15,8.55
Oregon,OR,1968,1.25,9.29,1.15,8.55,1.25,9.29
Pennsylvania,PA,1968,1.15,8.55,1.15,8.55,1.15,8.55
Puerto Rico,None,1968,0.43,3.2,1.15,8.55,1.15,8.55
Rhode Island,RI,1968,1.4,10.41,1.15,8.55,1.4,10.41
South Carolina,SC,1968,0,0,1.15,8.55,1.15,8.55
South Dakota,SD,1968,0.425,3.16,1.15,8.55,1.15,8.55
Tennessee,TN,1968,0,0,1.15,8.55,1.15,8.55
Texas,TX,1968,0,0,1.15,8.55,1.15,8.55
U.S. Virgin Islands,None,1968,0,0,1.15,8.55,1.15,8.55
Utah,UT,1968,1,7.43,1.15,8.55,1.15,8.55
Vermont,VT,1968,1.4,10.41,1.15,8.55,1.4,10.41
Virginia,VA,1968,0,0,1.15,8.55,1.15,8.55
Washington,WA,1968,1.6,11.89,1.15,8.55,1.6,11.89
West Virginia,WV,1968,1,7.43,1.15,8.55,1.15,8.55
Wisconsin,WI,1968,1.25,9.29,1.15,8.55,1.25,9.29
Wyoming,WY,1968,1.2,8.92,1.15,8.55,1.2,8.92
Alabama,AL,1969,0,0,1.15,8.11,1.15,8.11
Alaska,AK,1969,2.1,14.8,1.15,8.11,2.1,14.8
Arizona,AZ,1969,0.468,3.3,1.15,8.11,1.15,8.11
Arkansas,AR,1969,0.15625,1.1,1.15,8.11,1.15,8.11
California,CA,1969,1.65,11.63,1.15,8.11,1.65,11.63
Colorado,CO,1969,1,7.05,1.15,8.11,1.15,8.11
Connecticut,CT,1969,1.4,9.87,1.15,8.11,1.4,9.87
Delaware,DE,1969,1.25,8.81,1.15,8.11,1.25,8.81
District of Columbia,DC,1969,1.25,8.81,1.15,8.11,1.25,8.81
Florida,FL,1969,0,0,1.15,8.11,1.15,8.11
Georgia,GA,1969,0,0,1.15,8.11,1.15,8.11
Guam,None,1969,1.25,8.81,1.15,8.11,1.25,8.81
Hawaii,HI,1969,1.25,8.81,1.15,8.11,1.25,8.81
Idaho,ID,1969,1.15,8.11,1.15,8.11,1.15,8.11
Illinois,IL,1969,0,0,1.15,8.11,1.15,8.11
Indiana,IN,1969,1.15,8.11,1.15,8.11,1.15,8.11
Iowa,IA,1969,0,0,1.15,8.11,1.15,8.11
Kansas,KS,1969,0,0,1.15,8.11,1.15,8.11
Kentucky,KY,1969,0.65,4.58,1.15,8.11,1.15,8.11
Louisiana,LA,1969,0,0,1.15,8.11,1.15,8.11
Maine,ME,1969,1.4,9.87,1.15,8.11,1.4,9.87
Maryland,MD,1969,1,7.05,1.15,8.11,1.15,8.11
Massachusetts,MA,1969,1.6,11.28,1.15,8.11,1.6,11.28
Michigan,MI,1969,1.25,8.81,1.15,8.11,1.25,8.81
Minnesota,MN,1969,0.7,4.93,1.15,8.11,1.15,8.11
Mississippi,MS,1969,0,0,1.15,8.11,1.15,8.11
Missouri,MO,1969,0,0,1.15,8.11,1.15,8.11
Montana,MT,1969,0,0,1.15,8.11,1.15,8.11
Nebraska,NE,1969,1,7.05,1.15,8.11,1.15,8.11
Nevada,NV,1969,1.25,8.81,1.15,8.11,1.25,8.81
New Hampshire,NH,1969,1.4,9.87,1.15,8.11,1.4,9.87
New Jersey,NJ,1969,1.4,9.87,1.15,8.11,1.4,9.87
New Mexico,NM,1969,1.15,8.11,1.15,8.11,1.15,8.11
New York,NY,1969,1.6,11.28,1.15,8.11,1.6,11.28
North Carolina,NC,1969,1,7.05,1.15,8.11,1.15,8.11
North Dakota,ND,1969,1,7.05,1.15,8.11,1.15,8.11
Ohio,OH,1969,0.75,5.29,1.15,8.11,1.15,8.11
Oklahoma,OK,1969,1,7.05,1.15,8.11,1.15,8.11
Oregon,OR,1969,1.25,8.81,1.15,8.11,1.25,8.81
Pennsylvania,PA,1969,1.15,8.11,1.15,8.11,1.15,8.11
Puerto Rico,None,1969,0.43,3.03,1.15,8.11,1.15,8.11
Rhode Island,RI,1969,1.4,9.87,1.15,8.11,1.4,9.87
South Carolina,SC,1969,0,0,1.15,8.11,1.15,8.11
South Dakota,SD,1969,0.425,3,1.15,8.11,1.15,8.11
Tennessee,TN,1969,0,0,1.15,8.11,1.15,8.11
Texas,TX,1969,0,0,1.15,8.11,1.15,8.11
U.S. Virgin Islands,None,1969,0,0,1.15,8.11,1.15,8.11
Utah,UT,1969,1,7.05,1.15,8.11,1.15,8.11
Vermont,VT,1969,1.4,9.87,1.15,8.11,1.4,9.87
Virginia,VA,1969,0,0,1.15,8.11,1.15,8.11
Washington,WA,1969,1.6,11.28,1.15,8.11,1.6,11.28
West Virginia,WV,1969,1,7.05,1.15,8.11,1.15,8.11
Wisconsin,WI,1969,1.25,8.81,1.15,8.11,1.25,8.81
Wyoming,WY,1969,1.2,8.46,1.15,8.11,1.2,8.46
Alabama,AL,1970,0,0,1.3,8.67,1.3,8.67
Alaska,AK,1970,2.1,14,1.3,8.67,2.1,14
Arizona,AZ,1970,0.468,3.12,1.3,8.67,1.3,8.67
Arkansas,AR,1970,1.1,7.33,1.3,8.67,1.3,8.67
California,CA,1970,1.65,11,1.3,8.67,1.65,11
Colorado,CO,1970,1,6.67,1.3,8.67,1.3,8.67
Connecticut,CT,1970,1.6,10.67,1.3,8.67,1.6,10.67
Delaware,DE,1970,1.25,8.33,1.3,8.67,1.3,8.67
District of Columbia,DC,1970,1.6,10.67,1.3,8.67,1.6,10.67
Florida,FL,1970,0,0,1.3,8.67,1.3,8.67
Georgia,GA,1970,0,0,1.3,8.67,1.3,8.67
Guam,None,1970,1.6,10.67,1.3,8.67,1.6,10.67
Hawaii,HI,1970,1.6,10.67,1.3,8.67,1.6,10.67
Idaho,ID,1970,1.25,8.33,1.3,8.67,1.3,8.67
Illinois,IL,1970,0,0,1.3,8.67,1.3,8.67
Indiana,IN,1970,1.25,8.33,1.3,8.67,1.3,8.67
Iowa,IA,1970,0,0,1.3,8.67,1.3,8.67
Kansas,KS,1970,0,0,1.3,8.67,1.3,8.67
Kentucky,KY,1970,0.65,4.33,1.3,8.67,1.3,8.67
Louisiana,LA,1970,0,0,1.3,8.67,1.3,8.67
Maine,ME,1970,1.6,10.67,1.3,8.67,1.6,10.67
Maryland,MD,1970,1.3,8.67,1.3,8.67,1.3,8.67
Massachusetts,MA,1970,1.6,10.67,1.3,8.67,1.6,10.67
Michigan,MI,1970,1.25,8.33,1.3,8.67,1.3,8.67
Minnesota,MN,1970,0.7,4.67,1.3,8.67,1.3,8.67
Mississippi,MS,1970,0,0,1.3,8.67,1.3,8.67
