Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Virgin Islands,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Federal,Federal_Minimum_Wage_2020_Dollars,US_Average_by_Year
1970,0,2.1,0.468,1.1,1.65,1,1.6,1.25,1.6,0,0,1.6,1.6,1.25,0,1.25,0,0,0.65,0,1.6,1.3,1.6,1.25,0.7,0,0,0,1,1.3,1.45,1.5,1.3,1.6,1.25,1,0.75,1,1.25,1.3,0.43,1.6,0,1,0,0,0,1,1.6,0,1.6,1,1.3,1.3,1.3,8.67, 0.91 
1971,0,2.1,0.468,1.1,1.65,1,1.6,1.25,1.6,0,0,1.6,1.6,1.25,0,1.25,0,0,0.65,0,1.6,1.3,1.6,1.25,0.7,0,0,0,1,1.3,1.45,1.5,1.3,1.6,1.25,1,0.75,1,1.25,1.3,0.43,1.6,0,1,0,0,0,1,1.6,0,1.6,1,1.3,1.3,1.3,8.3, 0.91 
1972,0,2.1,0.468,1.2,1.65,1,1.85,1.6,1.6,0,1.25,1.9,1.6,1.4,1.4,1.25,0,0,0.65,0,1.4,1.6,1.75,1.6,0.75,0,0,1.6,1,1.6,1.6,1.5,1.3,1.85,1.45,1,0.75,1.4,1.25,1.6,0.65,1.6,0,1,0,1.4,0,1.2,1.6,0,1.6,1.2,1.45,1.5,1.6,9.9, 1.09 
1973,0,2.1,0.468,1.2,1.65,1,1.85,1.6,1.6,0,1.25,1.9,1.6,1.4,1.4,1.25,0,0,0.65,0,1.4,1.6,1.75,1.6,0.75,0,0,1.6,1,1.6,1.6,1.5,1.3,1.85,1.45,1,0.75,1.4,1.25,1.6,0.65,1.6,0,1,0,1.4,0,1.2,1.6,0,1.6,1.2,1.45,1.5,1.6,9.32, 1.09 
1974,0,2.1,0.468,1.2,1.65,1,1.85,1.6,1.6,0,1.25,1.9,1.6,1.4,1.4,1.25,0,0,0.65,0,1.4,1.6,1.75,1.6,0.75,0,0,1.6,1,1.6,1.6,1.5,1.3,1.85,1.45,1,0.75,1.4,1.25,1.6,0.65,1.6,0,1,0,1.4,0,1.2,1.6,0,1.6,1.2,1.45,1.5,1.6,8.39, 1.09 
1975,0,2.1,0.468,1.2,1.65,1,1.85,1.6,1.6,0,1.25,1.9,1.6,1.4,1.4,1.25,0,0,0.65,0,1.4,1.6,1.75,1.6,0.75,0,0,1.6,1,1.6,1.6,1.5,1.3,1.85,1.45,1,0.75,1.4,1.25,1.6,0.65,1.6,0,1,0,1.4,0,1.2,1.6,0,1.6,1.2,1.45,1.5,1.6,7.69, 1.09 
1976,0,2.8,0,1.9,2,1,2.21,2,2.25,0,1.25,2.3,2.4,1.6,2.1,1.25,0,0,1.6,0,2.3,2.2,2.1,2.2,1.8,0,0,1.8,1.6,2.2,2.2,2.2,2,2.3,2,2,1.6,1.8,2.3,2.2,0.76,2.3,0,2,0,1.4,0,1.55,2.3,2,2.2,2,2.1,1.6,2.2,10, 1.55 
1977,0,2.8,0,1.9,2,1,2.21,2,2.25,0,1.25,2.3,2.4,1.6,2.1,1.25,0,0,1.6,0,2.3,2.2,2.1,2.2,1.8,0,0,1.8,1.6,2.2,2.2,2.2,2,2.3,2,2,1.6,1.8,2.3,2.2,0.76,2.3,0,2,0,1.4,0,1.55,2.3,2,2.2,2,2.1,1.6,2.2,9.39, 1.55 
1978,0,2.8,0,1.9,2,1,2.21,2,2.25,0,1.25,2.3,2.4,1.6,2.1,1.25,0,0,1.6,0,2.3,2.2,2.1,2.2,1.8,0,0,1.8,1.6,2.2,2.2,2.2,2,2.3,2,2,1.6,1.8,2.3,2.2,0.76,2.3,0,2,0,1.4,0,1.55,2.3,2,2.2,2,2.1,1.6,2.2,8.73, 1.55 
1979,0,3.4,0,2.3,2.9,1.9,2.91,2,2.46,0,1.23,2.9,2.65,2.3,2.3,2,0,1.6,2,0,2.9,2.9,2.9,2.9,2.3,0,0,2,1.6,2.75,2.9,2.5,2.3,2.9,2.5,2.1,2.3,2,2.3,2.9,1.2,2.3,0,2.3,0,1.4,2.9,2.2,2.9,2.35,2.3,2.2,2.8,1.6,2.9,10.33, 1.97 
