Year,first,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Virgin Islands,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1968,8.92,8.55,15.61,8.55,8.55,12.26,8.55,10.41,9.29,9.29,8.55,8.55,9.29,9.29,8.55,8.55,8.55,8.55,8.55,8.55,8.55,10.41,8.55,11.89,9.29,8.55,8.55,8.55,8.55,8.55,9.29,10.41,10.41,8.55,11.89,8.55,8.55,8.55,8.55,9.29,8.55,8.55,10.41,8.55,8.55,8.55,8.55,8.55,8.55,10.41,8.55,11.89,8.55,9.29,8.92
1969,8.46,8.11,14.8,8.11,8.11,11.63,8.11,9.87,8.81,8.81,8.11,8.11,8.81,8.81,8.11,8.11,8.11,8.11,8.11,8.11,8.11,9.87,8.11,11.28,8.81,8.11,8.11,8.11,8.11,8.11,8.81,9.87,9.87,8.11,11.28,8.11,8.11,8.11,8.11,8.81,8.11,8.11,9.87,8.11,8.11,8.11,8.11,8.11,8.11,9.87,8.11,11.28,8.11,8.81,8.46
1970,8.67,8.67,14.0,8.67,8.67,11.0,8.67,10.67,8.67,10.67,8.67,8.67,10.67,10.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,10.67,8.67,10.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,9.67,10.0,8.67,10.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,10.67,8.67,8.67,8.67,8.67,8.67,8.67,10.67,8.67,10.67,8.67,8.67,8.67
1971,8.3,8.3,13.41,8.3,8.3,10.54,8.3,10.22,8.3,10.22,8.3,8.3,10.22,10.22,8.3,8.3,8.3,8.3,8.3,8.3,8.3,10.22,8.3,10.22,8.3,8.3,8.3,8.3,8.3,8.3,8.3,9.26,9.58,8.3,10.22,8.3,8.3,8.3,8.3,8.3,8.3,8.3,10.22,8.3,8.3,8.3,8.3,8.3,8.3,10.22,8.3,10.22,8.3,8.3,8.3
1972,9.9,9.9,12.99,9.9,9.9,10.21,9.9,11.45,9.9,9.9,9.9,9.9,11.76,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,10.83,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,11.45,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
1973,9.32,9.32,12.23,9.32,9.32,9.61,9.32,10.78,9.32,9.32,9.32,9.32,11.07,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,10.19,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,10.78,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32
1974,8.39,8.39,11.02,8.39,8.39,8.66,8.39,9.71,8.39,8.39,8.39,8.39,9.97,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,9.18,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,9.71,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39
1975,7.69,7.69,10.1,7.69,7.69,7.93,7.69,8.89,7.69,7.69,7.69,7.69,9.13,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,8.41,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,8.89,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69
1976,10.0,10.0,12.73,10.0,10.0,10.0,10.0,10.05,10.0,10.23,10.0,10.0,10.46,10.91,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.46,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.46,10.0,10.0,10.0,10.0,10.46,10.0,10.0,10.46,10.0,10.0,10.0,10.0,10.0,10.0,10.46,10.0,10.0,10.0,10.0,10.0
1977,9.39,9.39,11.95,9.39,9.39,9.39,9.39,9.43,9.39,9.6,9.39,9.39,9.82,10.24,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.82,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.82,9.39,9.39,9.39,9.39,9.82,9.39,9.39,9.82,9.39,9.39,9.39,9.39,9.39,9.39,9.82,9.39,9.39,9.39,9.39,9.39
1978,8.73,8.73,11.11,8.73,8.73,8.73,8.73,8.77,8.73,8.93,8.73,8.73,9.12,9.52,8.73,8.73,8.73,8.73,8.73,8.73,8.73,9.12,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,9.12,8.73,8.73,8.73,8.73,9.12,8.73,8.73,9.12,8.73,8.73,8.73,8.73,8.73,8.73,9.12,8.73,8.73,8.73,8.73,8.73
1979,10.33,10.33,12.11,10.33,10.33,10.33,10.33,10.37,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33
1980,9.73,9.73,11.3,9.73,9.73,9.73,9.73,9.79,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73
