Year,State,State_code,State_Minimum_Wage,State_Minimum_Wage_2020_Dollars,Federal_Minimum_Wage,Federal_Minimum_Wage_2020_Dollars,Effective_Minimum_Wage,Effective_Minimum_Wage_2020_Dollars
1968,Alabama,AL,0,0,1.15,8.55,1.15,8.55
1968,Alaska,AK,2.1,15.61,1.15,8.55,2.1,15.61
1968,Arizona,AZ,0.468,3.48,1.15,8.55,1.15,8.55
1968,Arkansas,AR,0.15625,1.16,1.15,8.55,1.15,8.55
1968,California,CA,1.65,12.26,1.15,8.55,1.65,12.26
1968,Colorado,CO,1,7.43,1.15,8.55,1.15,8.55
1968,Connecticut,CT,1.4,10.41,1.15,8.55,1.4,10.41
1968,Delaware,DE,1.25,9.29,1.15,8.55,1.25,9.29
1968,District of Columbia,DC,1.25,9.29,1.15,8.55,1.25,9.29
1968,Florida,FL,0,0,1.15,8.55,1.15,8.55
1968,Georgia,GA,0,0,1.15,8.55,1.15,8.55
1968,Guam,None,1.25,9.29,1.15,8.55,1.25,9.29
1968,Hawaii,HI,1.25,9.29,1.15,8.55,1.25,9.29
1968,Idaho,ID,1.15,8.55,1.15,8.55,1.15,8.55
1968,Illinois,IL,0,0,1.15,8.55,1.15,8.55
1968,Indiana,IN,1.15,8.55,1.15,8.55,1.15,8.55
1968,Iowa,IA,0,0,1.15,8.55,1.15,8.55
1968,Kansas,KS,0,0,1.15,8.55,1.15,8.55
1968,Kentucky,KY,0.65,4.83,1.15,8.55,1.15,8.55
1968,Louisiana,LA,0,0,1.15,8.55,1.15,8.55
1968,Maine,ME,1.4,10.41,1.15,8.55,1.4,10.41
1968,Maryland,MD,1,7.43,1.15,8.55,1.15,8.55
1968,Massachusetts,MA,1.6,11.89,1.15,8.55,1.6,11.89
1968,Michigan,MI,1.25,9.29,1.15,8.55,1.25,9.29
1968,Minnesota,MN,0.7,5.2,1.15,8.55,1.15,8.55
1968,Mississippi,MS,0,0,1.15,8.55,1.15,8.55
1968,Missouri,MO,0,0,1.15,8.55,1.15,8.55
1968,Montana,MT,0,0,1.15,8.55,1.15,8.55
1968,Nebraska,NE,1,7.43,1.15,8.55,1.15,8.55
1968,Nevada,NV,1.25,9.29,1.15,8.55,1.25,9.29
1968,New Hampshire,NH,1.4,10.41,1.15,8.55,1.4,10.41
1968,New Jersey,NJ,1.4,10.41,1.15,8.55,1.4,10.41
1968,New Mexico,NM,1.15,8.55,1.15,8.55,1.15,8.55
1968,New York,NY,1.6,11.89,1.15,8.55,1.6,11.89
1968,North Carolina,NC,1,7.43,1.15,8.55,1.15,8.55
1968,North Dakota,ND,1,7.43,1.15,8.55,1.15,8.55
1968,Ohio,OH,0.75,5.57,1.15,8.55,1.15,8.55
1968,Oklahoma,OK,1,7.43,1.15,8.55,1.15,8.55
1968,Oregon,OR,1.25,9.29,1.15,8.55,1.25,9.29
1968,Pennsylvania,PA,1.15,8.55,1.15,8.55,1.15,8.55
1968,Puerto Rico,None,0.43,3.2,1.15,8.55,1.15,8.55
1968,Rhode Island,RI,1.4,10.41,1.15,8.55,1.4,10.41
1968,South Carolina,SC,0,0,1.15,8.55,1.15,8.55
